11111,70000000,35.660000,1.450000,0,-83.000000,6.000000,7.500000,5.000000,2.000000,0,Mosasaur,Average,Morocco,unknown
22222,70000000,1995.000000,45.000000,0,-142.000000,-26.000000,13.400000,4.000000,5.000000,0,Sauropod,Great,Morocco,Steve Allen
33333,15000000,1895.000000,11.000000,0,-43.000000,-54.500000,11.500000,17.000000,3.000000,0,Sauropod,Decent,USA,Jeff Pinkos
44444,15000000,1795.000000,14.000000,0,43.000000,57.500000,11.600000,6.000000,8.000000,0,Camptosaurus,Super,USA,Sudhaat Oad
55555,12331000,99000.000000,15.870000,0,35.500000,80.000000,2.500000,7.000000,7.000000,0,T-Rex,Good,USA,Jake Lewis
66666,65000000,500000.000000,1000.000000,0,0.000000,0.000000,9.000000,4.000000,4.000000,0,Dryosaurus,Poor,Canada,Pete
77777,18000000,60000.000000,40000.000000,0,60.000000,-15.000000,15.000000,5.000000,7.000000,0,Mammoth,Poor,Russia,Sergei
88888,66000000,395.000000,20.000000,0,110.000000,47.000000,2.400000,3.000000,2.000000,0,Hadrosaur,Decent,USA,Greg
99999,70000000,1995.000000,40.000000,0,170.000000,51.000000,15.000000,4.000000,4.000000,0,Theropod,Decent,USA,Allmond
10101,10000000,9495.000000,10.000000,0,-105.000000,60.000000,2.000000,4.000000,4.000000,0,Trilobite,Decent,Russia,Aaron Burr
11110,70000000,500.000000,100.000000,0,32.000000,6.000000,27.000000,10.500000,4.000000,0,Mosasaur,Great,Morocco,Jees
12121,70000000,24.990000,2.000000,0,-32.000000,56.000000,3.000000,2.000000,3.000000,0,Mosasaur,Good,Morocco,Mole
13131,33000000,3595.000000,20.000000,0,100.000000,44.500000,9.400000,2.000000,5.000000,0,Hyaenodon,Good,USA,Glen
10456,45000000,300.000000,12.000000,1,-174.000000,-90.000000,0.500000,0.080000,0.200000,1234,Velocia Raptor,Excellent,Morroco,James Bond
